"english_name","arabic_name","iso3","iso2","phone_code","capital_english","capital_arabic","area_in_kilometer_square","currency","currency_name_en","currency_name_ar","currency_symbol","tld","region","subregion","timezones__zoneName","timezones__gmtOffset","timezones__gmtOffsetName","timezones__abbreviation","timezones__tzName","translations__kr","translations__br","translations__pt","translations__nl","translations__hr","translations__fa","translations__de","translations__es","translations__fr","translations__ja","translations__it","translations__cn","translations__tr","latitude","longitude","emoji","emojiU","governorates__id","governorates__name_en","governorates__name_ar","governorates__name_ar_tashkeel","governorates__phone_numbering_plan","governorates__capital_name_ar","governorates__capital_name_en","governorates__name_ar_normalized","governorates__name_en_normalized","governorates__districts__id","governorates__districts__name_en","governorates__districts__name_ar","governorates__districts__name_ar_tashkeel","governorates__districts__name_ar_normalized","governorates__districts__name_en_normalized"
"Yemen","اليَمَن","YEM","YE","967","Sanaa","صنعاء","555000","YER","Yemeni rial","ريال يمني","﷼",".ye","Asia","Western Asia","Asia/Aden","10800","UTC+03:00","AST","Arabia Standard Time","예멘","Iêmen","Iémen","Jemen","Jemen","یمن","Jemen","Yemen","Yémen","イエメン","Yemen","也门","Yemen","15.00000000","48.00000000","🇾🇪","U+1F1FE U+1F1EA","1","Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ","01","","","امانه العاصمه","Amant Al Asmah","1","Sana'a Alqdimah","صنعاء القديمة","صَنْعاء القَدِيمَة","صنعاء القديمه","Sanaa Alqdimah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Azal","آزَاْل","آزَاْل","ازال","Azal"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Safiah","الصافية","الصَّافِيَة","الصافيه","Al Safiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Sabe'en","السبعين","السَّبْعِين","السبعين","Al Sabeen"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Sh'oob","شعوب","شُعُوْب","شعوب","Shoob"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Wehdah","الوحدة","الوِحْدَة","الوحده","Al Wehdah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Al-Tahrir","التحرير","التَّحْرِير","التحرير","Al Tahrir"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Al-Thowarah","الثورة","الثَّوْرَة","الثوره","Al Thowarah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Maeen","معين","مَعَيْن","معين","Maeen"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Bni Al-Harith","بني الحارث","بَنِيْ الحَارِث","بني الحارث","Bni Al Harith"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Sanaa","صنعاء","صَنْعاء","01","","","صنعاء","Sanaa","1","Hamdan","همدان","هَمْدَان","همدان","Hamdan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Arhab","أرحب","أَرْحَب","ارحب","Arhab"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Jihanah","جحانة","جِحانْة","جحانه","Jihanah"
